"group_id","lang_code"
"8f685a78-0167-4a7a-9fcd-62c83cfb60b3","es"
"8f685a78-0167-4a7a-9fcd-62c83cfb60b3","es-la"
"10659ee8-52af-4f64-b522-642b77959575","vi"
"e154b715-1d5d-46ee-b475-cd463f091027","fr"
"ab24085f-b16c-4029-8c05-38fe16592a85","en"
"9df10f93-9d39-4c26-b36f-008f133e658f","pt-br"
"3c70cf6d-7a2c-4dc5-b203-4dde2821c861","pt-br"
"076f9e06-3a9b-4d50-9b65-3511da370421","en"
"9c7ab000-db1b-4685-99cc-6aa59b6719aa","lt"
"dd596dad-3c1f-45fa-afe0-a8608d9f7623","vi"
"2bd250d2-d0b0-4e27-83d0-7c4e401db887","en"
"3ce16bc0-4f76-41d2-8627-d88f62576ca7","en"
"2850f0e3-0963-45fe-ac1a-e838a2f1e30d","uk"
"141ef9e2-4ac9-4555-a893-db679f2a9e40","en"
"254827da-607c-46cf-a8d3-44c2b76b23e0","en"
"2a59d7a2-7ca3-42b1-9d59-bf5364267bf0","ru"
"d719d7e0-d065-48e8-b63f-99d36ba65c36","en"
"9664ea10-df75-449a-ac19-9dd78392a423","en"
"6a091434-1333-4c2a-9126-a09a1d91d5ed","vi"
"a2d67a81-691c-48b0-b95a-38bba5672c73","en"
"42e168b0-1289-4366-9f9c-350ce02f03e7","en"
"857bc309-b9ca-47c4-a796-a98e796629ed","en"
"f731aa83-b24b-455a-a1fb-5871284e7e5a","th"
"7a58eb0f-a97e-401d-b66d-3011a7a8a066","en"
"a58718ae-6876-4b03-952f-3b6053c5b58c","en"
"a1717159-53dc-4f26-822b-6296e2ab6728","ru"
"65cddb05-1c0c-4f32-b349-2a98252bd6b5","es-la"
"32d48572-9e6f-414a-a595-807a98ab79bc","ar"
"6a964475-a067-4bd2-bff0-c2c9df9be644","pt-br"
"6339b3ec-9c56-4f18-98dd-fa886f411a63","id"
"8686a408-cf50-4fa4-8c17-62c0915274bc","en"
"6a51198b-7b0f-45fa-812f-e41743355521","fr"
"fa7452f9-aa35-4e99-a5a1-02926e26e7ba","ru"
"8d4d3de9-5d1d-45a7-8c48-8b48d67b102a","en"
"13850957-6b6c-4833-bb79-ae5629600e33","es-la"
"59a7fb9c-f878-4f78-89da-1fe6bb27e73a","en"
"888d5fe2-1922-4f66-9994-7c702f150d0e","en"
"d5d77338-7e0d-4e3e-bb21-cfe811a0230d","en"
"c6ab2faa-799e-478e-a7af-ce4169673929","en"
"3f4b8bd4-8775-4669-a63c-97a0303b9b0e","en"
"931f4b34-79ce-4b62-8c01-37408e9e2149","en"
"931f4b34-79ce-4b62-8c01-37408e9e2149","es-la"
"979cfb5c-0a39-44e5-a15a-00c4337750ab","es-la"
"cb93d6c3-aa95-45c2-9809-e719f6af15c3","en"
"a3c151fd-8fa8-4af0-9c4b-358d50078a42","en"
"c2a758e2-b1f4-44f4-9aeb-0c08d5aba84c","it"
"a1e58a0b-78a7-4809-be64-47de7421d9c5","fr"
"0a2586c6-0b10-4548-ad5f-59440aa43682","en"
"cac3ee48-5e6d-4546-9a02-f8eb7f82618f","es-la"
"4781d884-6231-43a6-a28c-9a906e9e3879","en"
"3d65faeb-23ee-49a9-b5ed-af6f9540fd47","ru"
"1dca0f03-8047-490e-876f-3933457a7da4","en"
"69256aeb-21d4-49bc-aada-e2f0a0ad6026","it"
"be48037a-6de0-4ad7-adfc-8f87a887a713","id"
"3bceb5e3-2ce1-42ec-b7c1-666d82bfdea5","hu"
"72ec1ac0-0e9f-47e8-b969-9ce61fa15eeb","it"
"7b732453-78c6-43c4-9e07-75a201f97a8a","en"
"18b29a45-0d12-4d61-b86b-6a9244ea878d","ru"
"95ca7c74-895c-4c3a-9e4b-62fc02e7a3fd","en"
"c78af3d8-7ef3-4d88-8f81-25dd536b1598","en"
"9ed10af9-bde5-467d-99a4-ed707589a82c","en"
"ea333724-a717-4000-82b7-2542136e1b1a","fr"
"b1252064-f603-4956-a632-774a45f2bc1a","pt-br"
"a8bd7900-9ff4-481d-88c0-8ba58485ba40","fr"
"cbcb7e6d-a703-4b68-8b6c-ca62b2a97285","es-la"
"430921c2-9a11-4328-885b-7ad84575968a","ar"
"8887cb72-0121-4071-9e1e-31f0f9b38006","ru"
"d0b7869c-a99d-4876-bd20-aaebdd1e95bc","es-la"
"7b04f78b-24ed-4237-9ddb-07c29615ad53","en"
"701c0b4a-18ae-451a-9f3f-96cdb07b4025","en"
"a38edf30-aecb-48fe-b048-871b6f7c5832","en"
"c5fefb35-0414-4167-83ce-73d7bc16cd86","id"
"239675a0-c08a-4193-b677-3eac9f99692e","en"
"5f10de2e-d023-4a03-997d-2e850914d9c0","en"
"cfa37f6e-5e01-4daa-9820-29f47882a3d1","ru"
